VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes aegypti,3082,unpublished,polygon,2,-10.88,-68.61,2013,Brazil,BRA,37,NA
Aedes aegypti,3110,unpublished,polygon,2,-10.72,-70.01,2013,Brazil,BRA,37,NA
Aedes aegypti,3111,unpublished,polygon,2,-10.7,-69.23,2013,Brazil,BRA,37,NA
Aedes aegypti,3131,unpublished,polygon,2,-10.61,-68.58,2013,Brazil,BRA,37,NA
Aedes aegypti,3157,unpublished,polygon,2,-10.45,-67.83,2013,Brazil,BRA,37,NA
Aedes aegypti,3197,unpublished,polygon,2,-10.24,-67.36,2013,Brazil,BRA,37,NA
Aedes aegypti,3233,unpublished,polygon,2,-10,-68.42,2013,Brazil,BRA,37,NA
Aedes aegypti,3237,unpublished,polygon,2,-9.98,-67.46,2013,Brazil,BRA,37,NA
Aedes aegypti,3245,unpublished,polygon,2,-9.95,-66.91,2013,Brazil,BRA,37,NA
Aedes aegypti,3269,unpublished,polygon,2,-9.77,-69.42,2013,Brazil,BRA,37,NA
Aedes aegypti,3293,unpublished,polygon,2,-9.64,-67.71,2013,Brazil,BRA,37,NA
Aedes aegypti,3299,unpublished,polygon,2,-9.6,-68.13,2013,Brazil,BRA,37,NA
Aedes aegypti,3432,unpublished,polygon,2,-8.9,-70.81,2013,Brazil,BRA,37,NA
Aedes aegypti,3592,unpublished,polygon,2,-7.96,-72.79,2013,Brazil,BRA,37,NA
Aedes aegypti,16536,10910,point,-999,-9.98,-67.82,2004,Brazil,BRA,37,NA
Aedes aegypti,17613,11903,point,-999,-9.98,-67.81,2001,Brazil,BRA,37,NA
Aedes aegypti,17949,12145,point,-999,-9.98,-67.82,2001,Brazil,BRA,37,NA
Aedes aegypti,18854,13792,point,-999,-9.98,-67.81,2006,Brazil,BRA,37,NA
Aedes aegypti,19318,14897,polygon,NA,-10.07,-68.32,NA,Brazil,BRA,37,NA
Aedes aegypti,19466,15390,polygon,NA,-9.31,-70.45,2009,Brazil,BRA,37,NA
Aedes aegypti,19906,2809,point,-999,-9.96,-67.8,2001,Brazil,BRA,37,NA
