ESTIMATIVAS DA POPULAÇÃO RESIDENTE NOS MUNICÍPIOS BRASILEIROS COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2014,,,,,
UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,
RO,11,00015,Alta Floresta D'Oeste,"25,652",
RO,11,00379,Alto Alegre dos Parecis,"13,884",
RO,11,00403,Alto Paraíso,"19,841",
RO,11,00346,Alvorada D'Oeste,"17,228",
RO,11,00023,Ariquemes,"102,860",
RO,11,00452,Buritis,"37,207",
RO,11,00031,Cabixi,"6,424",
RO,11,00601,Cacaulândia,"6,318",
RO,11,00049,Cacoal,"86,556",
RO,11,00700,Campo Novo de Rondônia,"14,081",
RO,11,00809,Candeias do Jamari,"23,573",
RO,11,00908,Castanheiras,"3,653",
RO,11,00056,Cerejeiras,"18,013",
RO,11,00924,Chupinguaia,"9,887",
RO,11,00064,Colorado do Oeste,"19,001",
RO,11,00072,Corumbiara,"8,938",
RO,11,00080,Costa Marques,"16,258",
RO,11,00940,Cujubim,"20,204",
RO,11,00098,Espigão D'Oeste,"32,047",
RO,11,01005,Governador Jorge Teixeira,"10,327",
RO,11,00106,Guajará-Mirim,"46,203",
RO,11,01104,Itapuã do Oeste,"9,831",
RO,11,00114,Jaru,"55,669",
RO,11,00122,Ji-Paraná,"129,242",
RO,11,00130,Machadinho D'Oeste,"36,412",
RO,11,01203,Ministro Andreazza,"10,860",
RO,11,01302,Mirante da Serra,"12,414",
RO,11,01401,Monte Negro,"15,710",
RO,11,00148,Nova Brasilândia D'Oeste,"21,511",
RO,11,00338,Nova Mamoré,"26,925",
RO,11,01435,Nova União,"7,853",
RO,11,00502,Novo Horizonte do Oeste,"10,393",
RO,11,00155,Ouro Preto do Oeste,"40,010",
RO,11,01450,Parecis,"5,589",
RO,11,00189,Pimenta Bueno,"37,230",
RO,11,01468,Pimenteiras do Oeste,"2,432",
RO,11,00205,Porto Velho,"494,013",
RO,11,00254,Presidente Médici,"22,783",
RO,11,01476,Primavera de Rondônia,"3,548",
RO,11,00262,Rio Crespo,"3,709",
RO,11,00288,Rolim de Moura,"55,807",
RO,11,00296,Santa Luzia D'Oeste,"8,706",
RO,11,01484,São Felipe D'Oeste,"6,160",
RO,11,01492,São Francisco do Guaporé,"18,640",
RO,11,00320,São Miguel do Guaporé,"23,803",
RO,11,01500,Seringueiras,"12,543",
RO,11,01559,Teixeirópolis,"5,041",
RO,11,01609,Theobroma,"11,345",
RO,11,01708,Urupá,"13,391",
RO,11,01757,Vale do Anari,"10,682",
RO,11,01807,Vale do Paraíso,"8,327",
RO,11,00304,Vilhena,"89,797",
AC,12,00013,Acrelândia,"13,613",
AC,12,00054,Assis Brasil,"6,610",
AC,12,00104,Brasiléia,"23,378",
AC,12,00138,Bujari,"9,173",
AC,12,00179,Capixaba,"10,170",
AC,12,00203,Cruzeiro do Sul,"80,953",
AC,12,00252,Epitaciolândia,"16,417",
AC,12,00302,Feijó,"32,398",
AC,12,00328,Jordão,"7,330",
AC,12,00336,Mâncio Lima,"16,795",
AC,12,00344,Manoel Urbano,"8,514",
AC,12,00351,Marechal Thaumaturgo,"16,380",
AC,12,00385,Plácido de Castro,"17,979",
AC,12,00807,Porto Acre,"16,396",
AC,12,00393,Porto Walter,"10,453",
AC,12,00401,Rio Branco,"363,928",
AC,12,00427,Rodrigues Alves,"16,475",
AC,12,00435,Santa Rosa do Purus,"5,593",
AC,12,00500,Sena Madureira,"41,036",
AC,12,00450,Senador Guiomard,"20,992",
AC,12,00609,Tarauacá,"38,201",
AC,12,00708,Xapuri,"17,317",
AM,13,00029,Alvarães,"15,357",
AM,13,00060,Amaturá,"10,644",
AM,13,00086,Anamã,"11,981",
AM,13,00102,Anori,"18,826",
AM,13,00144,Apuí,"20,258",
AM,13,00201,Atalaia do Norte,"17,658",
AM,13,00300,Autazes,"36,301",
AM,13,00409,Barcelos,"27,273",
AM,13,00508,Barreirinha,"30,202",
AM,13,00607,Benjamin Constant,"38,533",
AM,13,00631,Beruri,"17,755",
AM,13,00680,Boa Vista do Ramos,"17,248",
AM,13,00706,Boca do Acre,"33,148",
AM,13,00805,Borba,"38,688",
AM,13,00839,Caapiranga,"12,214",
AM,13,00904,Canutama,"14,944",
AM,13,01001,Carauari,"27,645",
AM,13,01100,Careiro,"35,938",
AM,13,01159,Careiro da Várzea,"27,357",
AM,13,01209,Coari,"82,209",
AM,13,01308,Codajás,"26,242",
AM,13,01407,Eirunepé,"33,580",
AM,13,01506,Envira,"18,422",
AM,13,01605,Fonte Boa,"21,295",
AM,13,01654,Guajará,"15,561",
AM,13,01704,Humaitá,"50,230",
AM,13,01803,Ipixuna,"26,118",
AM,13,01852,Iranduba,"45,250",
AM,13,01902,Itacoatiara,"95,714",
AM,13,01951,Itamarati,"8,205",
AM,13,02009,Itapiranga,"8,864",
AM,13,02108,Japurá,"5,599",
AM,13,02207,Juruá,"12,807",
AM,13,02306,Jutaí,"16,977",
AM,13,02405,Lábrea,"42,439",
AM,13,02504,Manacapuru,"92,996",
AM,13,02553,Manaquiri,"27,480",
AM,13,02603,Manaus,"2,020,301",
AM,13,02702,Manicoré,"52,200",
AM,13,02801,Maraã,"18,367",
AM,13,02900,Maués,"58,834",
AM,13,03007,Nhamundá,"20,078",
AM,13,03106,Nova Olinda do Norte,"34,498",
AM,13,03205,Novo Airão,"17,199",
AM,13,03304,Novo Aripuanã,"23,905",
AM,13,03403,Parintins,"110,411",
AM,13,03502,Pauini,"19,265",
AM,13,03536,Presidente Figueiredo,"31,903",
AM,13,03569,Rio Preto da Eva,"29,771",
AM,13,03601,Santa Isabel do Rio Negro,"21,702",
AM,13,03700,Santo Antônio do Içá,"24,005",
AM,13,03809,São Gabriel da Cachoeira,"42,342",
AM,13,03908,São Paulo de Olivença,"35,757",
AM,13,03957,São Sebastião do Uatumã,"12,451",
AM,13,04005,Silves,"9,014",
AM,13,04062,Tabatinga,"59,684",
AM,13,04104,Tapauá,"18,266",
AM,13,04203,Tefé,"62,662",
AM,13,04237,Tonantins,"18,322",
AM,13,04260,Uarini,"12,963",
AM,13,04302,Urucará,"17,264",
AM,13,04401,Urucurituba,"20,621",
RR,14,00050,Alto Alegre,"16,301",
RR,14,00027,Amajari,"10,721",
RR,14,00100,Boa Vista,"314,900",
RR,14,00159,Bonfim,"11,632",
RR,14,00175,Cantá,"15,774",
RR,14,00209,Caracaraí,"19,981",
RR,14,00233,Caroebe,"8,997",
RR,14,00282,Iracema,"10,043",
RR,14,00308,Mucajaí,"16,137",
RR,14,00407,Normandia,"9,953",
RR,14,00456,Pacaraima,"11,667",
RR,14,00472,Rorainópolis,"26,811",
RR,14,00506,São João da Baliza,"7,401",
RR,14,00605,São Luiz,"7,309",
RR,14,00704,Uiramutã,"9,309",
PA,15,00107,Abaetetuba,"148,873",
PA,15,00131,Abel Figueiredo,"7,070",
PA,15,00206,Acará,"54,047",
PA,15,00305,Afuá,"37,004",
PA,15,00347,Água Azul do Norte,"26,105",
PA,15,00404,Alenquer,"54,353",
PA,15,00503,Almeirim,"33,466",
PA,15,00602,Altamira,"106,768",
PA,15,00701,Anajás,"27,051",
PA,15,00800,Ananindeua,"499,776",
PA,15,00859,Anapu,"24,525",
PA,15,00909,Augusto Corrêa,"43,154",
PA,15,00958,Aurora do Pará,"28,974",
PA,15,01006,Aveiro,"15,956",
PA,15,01105,Bagre,"27,491",
PA,15,01204,Baião,"42,513",
PA,15,01253,Bannach,"3,303",
PA,15,01303,Barcarena,"112,921",
PA,15,01402,Belém,"1,432,844",
PA,15,01451,Belterra,"16,924",
PA,15,01501,Benevides,"57,393",
PA,15,01576,Bom Jesus do Tocantins,"16,074",
PA,15,01600,Bonito,"14,990",
PA,15,01709,Bragança,"120,124",
