Sigla,Município,Q1,Q2,Q3,Q4,Average Precipitation,,,,
AC,Acrelândia,265.31,182.87,31.22,152.42,157.955,,,,
AC,Assis Brasil,265.31,182.99,57.63,168.71,168.66,,,,
AC,Brasiléia,265.31,167.36,36.4,159.16,157.0575,,,,
AC,Bujari,265.31,179.85,33.52,161.73,160.1025,,,,
AC,Capixaba,265.31,169.49,35.06,150.41,155.0675,,,,
AC,Cruzeiro do Sul,265.31,214.07,74.01,183.92,184.3275,,,,
AC,Epitaciolândia,265.31,166.88,37.01,155.49,156.1725,,,,
AC,Feijó,265.31,203.71,58.22,175.59,175.7075,,,,
AC,Jordão,265.31,203.93,66.49,178.01,178.435,,,,
AC,Mâncio Lima,265.31,233.57,92.02,206.31,199.3025,,,,
AC,Manoel Urbano,265.31,192.93,46.1,174.56,169.725,,,,
AC,Marechal Thaumaturgo,265.31,206.42,70.56,180.84,180.7825,,,,
AC,Plácido de Castro,265.31,174.67,32.12,148.84,155.235,,,,
AC,Porto Walter,265.31,209.87,70.67,180.61,181.615,,,,
AC,Rio Branco,265.31,174.95,34.86,159.88,158.75,,,,
AC,Rodrigues Alves,241.61,221.63,81.41,193.69,184.585,,,,
AC,Santa Rosa do Purus,275.95,196.54,51.87,174.56,174.73,,,,
AC,Senador Guiomard,267.09,176.75,33.38,152.08,157.325,,,,
AC,Sena Madureira,271.42,182.9,40.04,169.62,165.995,,,,
AC,Tarauacá,267.96,212.57,66.69,175.73,180.7375,,,,
AC,Xapuri,271.33,169.18,37.67,158.79,159.2425,,,,
AC,Porto Acre,267.23,183.5,33.95,158.94,160.905,,,,
AL,Água Branca,48.37,91.43,96.1,24.47,65.0925,,,,
AL,Anadia,44.87,164.9,175.4,51.07,109.06,,,,
AL,Arapiraca,29.8,103.77,119.97,33.43,71.7425,,,,
AL,Atalaia,50.23,173.9,195.8,60.9,120.2075,,,,
AL,Barra de Santo Antônio,65,232.17,222.77,76.03,148.9925,,,,
AL,Barra de São Miguel,65.57,239.87,243.6,76.2,156.31,,,,
AL,Batalha,32.53,79.13,79.57,22.3,53.3825,,,,
AL,Belém,42.43,146.9,178.07,48.9,104.075,,,,
AL,Belo Monte,29.2,71.13,69.33,19.7,47.34,,,,
AL,Boca da Mata,45.93,156.73,181.8,53.9,109.59,,,,
AL,Branquinha,44.27,154.23,193.1,51,110.65,,,,
AL,Cacimbinhas,34.13,86.97,83.73,19.6,56.1075,,,,
AL,Cajueiro,50.9,160.97,194.07,53.57,114.8775,,,,
AL,Campestre,,,,,#DIV/0!,,,,
AL,Campo Alegre,44.87,164.9,175.4,51.07,109.06,,,,
AL,Campo Grande,34.63,116.57,123.87,36.27,77.835,,,,
AL,Canapi,45.27,80.3,76.77,17.28,54.905,,,,
AL,Capela,46.93,163,197.4,57.8,116.2825,,,,
AL,Carneiros,33.43,75.93,85.83,18.77,53.49,,,,
AL,Chã Preta,46.13,145.93,189.6,50.6,108.065,,,,
AL,Coité do Nóia,36.07,123.57,151.37,39.13,87.535,,,,
AL,Colônia Leopoldina,60.4,165.8,193.77,57.73,119.425,,,,
AL,Coqueiro Seco,76.8,267.13,277.07,91,178,,,,
AL,Coruripe,47.73,194.1,174.83,51.83,117.1225,,,,
AL,Craíbas,25.8,86.97,101.67,24.13,59.6425,,,,
AL,Delmiro Gouveia,44.12,68.02,47.78,15.6,43.88,,,,
AL,Dois Riachos,36.67,89.6,86.63,20.73,58.4075,,,,
AL,Estrela de Alagoas,33.53,101.37,114.53,26.13,68.89,,,,
AL,Feira Grande,34.63,116.57,123.87,36.27,77.835,,,,
AL,Feliz Deserto,46.27,185.5,159.5,51.13,110.6,,,,
AL,Flexeiras,58.33,196.5,217.73,64.67,134.3075,,,,
AL,Girau do Ponciano,29,88.03,99.4,26.1,60.6325,,,,
AL,Ibateguara,50.03,151.37,175.53,49,106.4825,,,,
AL,Igaci,25.8,86.97,101.67,24.13,59.6425,,,,
AL,Igreja Nova,39.8,152.77,148.8,46.57,96.985,,,,
AL,Inhapi,45.13,81.27,83.67,20.1,57.5425,,,,
AL,Jacaré dos Homens,30.57,74.63,76.33,19.2,50.1825,,,,
AL,Jacuípe,67.5,194.4,202.1,55.9,129.975,,,,
AL,Japaratinga,73.9,206.5,186.23,51.57,129.55,,,,
AL,Jaramataia,28.4,79.1,79.9,19.73,51.7825,,,,
AL,Jequiá da Praia,,,,,#DIV/0!,,,,
AL,Joaquim Gomes,56.87,169.5,194.4,57.93,119.675,,,,
AL,Jundiá,61.03,174.63,193.3,55.8,121.19,,,,
AL,Junqueiro,37.6,146.3,155.33,44.73,95.99,,,,
AL,Lagoa da Canoa,27.57,92.27,105.33,28.43,63.4,,,,
AL,Limoeiro de Anadia,36.43,134.23,153.83,43.17,91.915,,,,
AL,Maceió,70.65,247.77,260.57,83.42,165.6025,,,,
AL,Major Isidoro,31.07,81.03,80.03,20.28,53.1025,,,,
AL,Maragogi,78.6,223.13,221.1,61.5,146.0825,,,,
AL,Maravilha,39.07,80.3,82.73,17.13,54.8075,,,,
AL,Marechal Deodoro,65.57,239.87,243.6,76.2,156.31,,,,
AL,Maribondo,45.93,156.73,181.8,53.9,109.59,,,,
AL,Mar Vermelho,52.4,166.63,216.83,56.5,123.09,,,,
AL,Mata Grande,49.03,76.71,63.77,18.63,52.035,,,,
AL,Matriz de Camaragibe,62.37,197.22,205.43,64.72,132.435,,,,
AL,Messias,53.67,192.6,219.4,62.9,132.1425,,,,
AL,Minador do Negrão,34.13,86.97,83.73,19.6,56.1075,,,,
AL,Monteirópolis,30.57,74.63,76.33,19.2,50.1825,,,,
AL,Murici,48,166.73,201.4,56.03,118.04,,,,
AL,Novo Lino,61.03,174.63,193.3,55.8,121.19,,,,
AL,Olho d'Água das Flores,30.57,74.63,76.33,19.2,50.1825,,,,
AL,Olho d'Água do Casado,44.27,85.83,95.63,22.17,61.975,,,,
AL,Olho d'Água Grande,36.2,127.57,126.8,39.53,82.525,,,,
AL,Olivença,31.23,86.2,92.5,20.33,57.565,,,,
AL,Ouro Branco,48.57,85.07,72.87,17.2,55.9275,,,,
AL,Palestina,29.2,71.13,69.33,19.7,47.34,,,,
AL,Palmeira dos Índios,45.3,143.1,182.53,44.8,103.9325,,,,
AL,Pão de Açúcar,31.07,67.78,61.02,18.08,44.4875,,,,
AL,Pariconha,43.43,61.23,40.4,15.8,40.215,,,,
AL,Paripueira,65,232.17,222.77,76.03,148.9925,,,,
AL,Passo de Camaragibe,63.1,209.73,214.1,70.07,139.25,,,,
AL,Paulo Jacinto,52.4,166.63,216.83,56.5,123.09,,,,
AL,Penedo,44.63,177.36,159.58,51.04,108.1525,,,,
AL,Piaçabuçu,46.7,178.53,137.9,44.17,101.825,,,,
AL,Pilar,62.2,220.53,242.83,75.57,150.2825,,,,
AL,Pindoba,50.9,160.97,194.07,53.57,114.8775,,,,
AL,Piranhas,42.47,76.83,77.88,19.03,54.0525,,,,
AL,Poço das Trincheiras,39.67,89.83,97.3,21.23,62.0075,,,,
AL,Porto Calvo,67.5,194.4,202.1,55.9,129.975,,,,
