State,Q1,Q2,Q3,Q4,Average in Celcius 
AC,26.43,25.49,27.19,26.69,26.45
AC,24.85,23.2,25.56,25.64,24.81
AC,25.29,23.76,25.9,25.89,25.21
AC,25.54,24.24,26.06,25.94,25.45
AC,26.41,25.2,27.01,26.65,26.32
AC,25.39,24.67,25.87,25.66,25.4
AC,26.15,24.83,26.7,26.49,26.04
AC,25.65,24.43,26.07,26.02,25.54
AC,25.47,24.3,25.89,25.82,25.37
AC,25.5,24.98,26.08,25.84,25.6
AC,25.26,23.88,25.79,25.81,25.19
AC,25.62,24.58,26.03,25.96,25.54
AC,26.48,25.4,27.16,26.71,26.44
AC,25.53,24.69,25.97,25.82,25.5
AC,25.89,24.56,26.42,26.24,25.78
AC,25.42,24.82,25.96,25.71,25.48
AC,25.48,24.14,25.96,25.95,25.38
AC,26.41,25.27,27.02,26.63,26.33
AC,25.19,23.73,25.76,25.79,25.12
AC,25.91,24.9,26.24,26.1,25.79
AC,26.05,24.71,26.58,26.38,25.93
AC,25.96,24.78,26.53,26.26,25.88
AL,25.17,22.57,25.6,26.67,25
AL,25.47,22.97,24.9,26.4,24.93
AL,25.2,22.43,24.77,26.43,24.71
AL,25.2,22.9,24.63,26,24.68
AL,25.23,23.27,24.43,25.7,24.66
AL,25.8,23.6,25,26.4,25.2
AL,25.93,22.8,25.67,27.3,25.43
AL,24.27,21.67,23.87,25.43,23.81
AL,26.13,22.87,25.83,27.43,25.57
AL,25.07,22.57,24.53,26.07,24.56
AL,24.57,22.23,24.07,25.43,24.08
AL,25,22.2,24.9,26.53,24.66
AL,24.37,21.93,23.97,25.37,23.91
AL,,,,,#DIV/0!
AL,25.47,22.97,24.9,26.4,24.93
AL,25.33,22.43,24.9,26.67,24.83
AL,25.27,22.5,25.53,26.72,25
AL,24.97,22.63,24.4,25.77,24.44
AL,25.5,22.53,25.5,26.93,25.12
AL,23.8,21.4,23.43,24.8,23.36
AL,24.57,21.87,24.23,25.83,24.13
AL,24.1,21.9,23.4,24.73,23.53
AL,25.37,23.3,24.6,25.9,24.79
AL,26.07,23.53,25.33,26.87,25.45
AL,25,22.17,24.77,26.43,24.59
AL,26.33,23.67,26.72,27.82,26.13
AL,25.47,22.5,25.33,26.9,25.05
AL,24.57,21.8,24.37,26,24.18
AL,25.33,22.43,24.9,26.67,24.83
AL,26.27,23.63,25.53,27.13,25.64
AL,24.57,22.5,23.87,25.17,24.03
AL,24.87,21.87,24.53,26.17,24.36
AL,23.4,21.07,22.87,24.13,22.87
AL,25,22.17,24.77,26.43,24.59
AL,26,23.17,25.4,27.1,25.42
AL,25.43,22.7,25.8,26.93,25.22
AL,25.97,22.8,25.77,27.33,25.47
AL,24.4,22.53,23.6,24.93,23.87
AL,24.83,23.1,23.97,25.3,24.3
AL,25.33,22.4,25.13,26.8,24.92
AL,,,,,#DIV/0!
AL,24.33,22.23,23.73,25.03,23.83
AL,24.5,22.5,23.73,25.1,23.96
AL,25.6,22.97,25,26.67,25.06
AL,24.9,22.07,24.6,26.27,24.46
AL,25.17,22.53,24.63,26.27,24.65
AL,25.17,23.1,24.43,25.72,24.6
AL,25.52,22.5,25.3,26.97,25.07
AL,24.63,22.93,23.77,25.1,24.11
AL,25.4,22.57,25.57,26.9,25.11
AL,25.8,23.6,25,26.4,25.2
AL,25.07,22.57,24.53,26.07,24.56
AL,23.93,21.4,23.63,25.1,23.52
AL,25.2,22.66,25.7,26.71,25.07
AL,24.73,22.77,23.98,25.28,24.19
AL,25.07,22.83,24.37,25.73,24.5
AL,25,22.2,24.9,26.53,24.66
AL,25.97,22.8,25.77,27.33,25.47
AL,24.2,22,23.6,24.97,23.69
AL,24.5,22.5,23.73,25.1,23.96
AL,25.97,22.8,25.77,27.33,25.47
AL,25.1,22.37,25.4,26.6,24.87
AL,26.27,23.23,25.67,27.43,25.65
AL,25.63,22.63,25.6,27.07,25.23
